scenario,zone_id,timestep,clps
surge,zone_6,4,0.61
surge,zone_6,5,0.61
surge,zone_6,6,0.61
surge,zone_6,7,0.61
surge,zone_6,8,0.61
surge,zone_6,9,0.61
surge,zone_6,10,0.61
surge,zone_6,11,0.61
surge,zone_6,12,0.61
surge,zone_6,13,0.61
surge,zone_6,14,0.61
surge,zone_6,15,0.61
surge,zone_6,16,0.61
surge,zone_6,17,0.61
surge,zone_6,18,0.61
surge,zone_6,19,0.61
surge,zone_6,20,0.61
surge,zone_6,21,0.61
surge,zone_6,22,0.61
surge,zone_6,23,0.61
surge,zone_6,24,0.554
surge,zone_6,25,0.554
surge,zone_6,26,0.554
surge,zone_6,27,0.554
surge,zone_6,28,0.554
surge,zone_6,29,0.554
surge,zone_6,30,0.554
surge,zone_6,31,0.554
surge,zone_6,32,0.554
surge,zone_6,33,0.554
surge,zone_6,34,0.554
surge,zone_6,35,0.554
surge,zone_6,36,0.554
surge,zone_6,37,0.554
surge,zone_6,38,0.554
surge,zone_6,39,0.554
surge,zone_6,40,0.554
surge,zone_6,41,0.554
surge,zone_6,42,0.554
surge,zone_6,43,0.554
surge,zone_6,44,0.554
surge,zone_6,45,0.554
surge,zone_6,46,0.554
surge,zone_6,47,0.554
surge,zone_6,48,0.554
surge,zone_6,49,0.554
surge,zone_6,50,0.554
surge,zone_6,51,0.554
surge,zone_6,52,0.554
surge,zone_6,53,0.554
surge,zone_6,54,0.554
surge,zone_6,55,0.554
surge,zone_6,56,0.554
surge,zone_6,57,0.554
surge,zone_6,58,0.554
surge,zone_6,59,0.554
surge,zone_6,60,0.554
