segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value
207,75.885911,17.599753,75.885752,17.600481,PVC,0.05,82.33789,zone_5,Distribution Pipeline,complete,10,25,150
208,75.885752,17.600481,75.885722,17.600593,PVC,0.05,12.88502,zone_5,Distribution Pipeline,complete,10,25,150
209,75.885722,17.600593,75.885558,17.60073,PVC,0.05,23.05852,zone_5,Distribution Pipeline,complete,10,25,150
210,75.885558,17.60073,75.885363,17.600856,PVC,0.05,24.94278,zone_5,Distribution Pipeline,complete,10,25,150
211,75.885363,17.600856,75.885001,17.600969,PVC,0.05,40.36126,zone_5,Distribution Pipeline,complete,10,25,150
212,75.885001,17.600969,75.884728,17.600954,PVC,0.05,29.05985,zone_5,Distribution Pipeline,complete,10,25,150
213,75.884585,17.600965,75.883843,17.600887,PVC,0.05,79.213,zone_5,Distribution Pipeline,complete,10,25,150
214,75.883843,17.600887,75.882703,17.600889,PVC,0.05,121.06962,zone_5,Distribution Pipeline,complete,10,25,150
215,75.882703,17.600889,75.881043,17.600928,PVC,0.05,176.24008,zone_5,Distribution Pipeline,complete,10,25,150
216,75.881043,17.600928,75.880564,17.600953,PVC,0.05,50.8387,zone_5,Distribution Pipeline,complete,10,25,150
217,75.880564,17.600953,75.879839,17.60106,PVC,0.05,77.90521,zone_5,Distribution Pipeline,complete,10,25,150
218,75.879839,17.60106,75.87972,17.601073,PVC,0.05,12.71949,zone_5,Distribution Pipeline,complete,10,25,150
219,75.87972,17.601073,75.879745,17.601277,PVC,0.05,22.71587,zone_5,Distribution Pipeline,complete,10,25,150
220,75.89698,17.622258,75.897041,17.622891,PVC,0.05,70.29841,zone_5,Distribution Pipeline,complete,10,25,150
221,75.896747,17.622308,75.896806,17.622912,PVC,0.05,67.10847,zone_5,Distribution Pipeline,complete,10,25,150
222,75.896591,17.622931,75.896513,17.62232,PVC,0.05,68.16682,zone_5,Distribution Pipeline,complete,10,25,150
223,75.84808,17.716149,75.848853,17.716268,PVC,0.05,95.08307,zone_1,Distribution Pipeline,complete,10,25,150
224,75.84886,17.716258,75.84977,17.715506,PVC,0.05,145.02919,zone_1,Distribution Pipeline,complete,10,25,150
225,75.849847,17.715658,75.849506,17.715989,PVC,0.05,66.62455,zone_1,Distribution Pipeline,complete,10,25,150
226,75.849837,17.715636,75.850079,17.71552,PVC,0.05,28.78391,zone_1,Distribution Pipeline,complete,10,25,150
227,75.849371,17.71632,75.850032,17.715989,PVC,0.05,79.16683,zone_1,Distribution Pipeline,complete,10,25,150
228,75.849628,17.716448,75.849135,17.717168,PVC,0.05,96.1975,zone_1,Distribution Pipeline,complete,10,25,150
229,75.84886,17.716258,75.848853,17.716268,PVC,0.05,1.37767,zone_1,Distribution Pipeline,complete,10,25,150
230,75.848853,17.716268,75.848627,17.716609,PVC,0.05,44.754,zone_1,Distribution Pipeline,complete,10,25,150
231,75.848723,17.716465,75.848898,17.716586,PVC,0.05,22.93704,zone_1,Distribution Pipeline,complete,10,25,150
232,75.849099,17.716912,75.849336,17.716452,PVC,0.05,56.82145,zone_1,Distribution Pipeline,complete,10,25,150
233,75.849883,17.716076,75.850043,17.716319,PVC,0.05,31.81967,zone_1,Distribution Pipeline,complete,10,25,150
